42,16
  0,  0, 10, 10,  0,  0, 10, 10,  0,  0,  0,  0,  0,  0, 10, 10,  7,  7,  5,  5,  0,  0, 10, 10,  0,  0,  5,  5, 10, 10,  0,  0,  5,  5, 10, 10, 15, 15, 15, 15, 15, 15,
  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  5,  5,  7,  7,  7,  7,  7,  7,  5,  5,  7,  7,  7,  7,  5,  5,  7,  7,  0,  0, 15, 15, 15, 15,
  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  5,  5,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  5,  5, 15, 15,
  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  8,  8,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  5,  5,  0,  0,
  7,  7,  5,  5,  5,  5,  8,  8,  8,  8,  8,  8,  8,  8,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  5,  8,  8,  5,  5,  6,  6,  7,  7,  7,  7,  5,  5,  7,  7,
  7,  7,  6,  6,  8,  8,  8,  8,  6,  6,  6,  6,  8,  8,  8,  8,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  5,  5,  8,  8,  6,  6,  6,  6,  6,  6,  5,  5,  6,  6,  5,  5,
  7,  7,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  8,  8,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  8,  8,  8,  8,  6,  6,  6,  6,  6,  6,  5,  5,  5,  5,  7,  7,
  7,  7,  8,  8,  6,  6,  6,  6,  6,  6,  6,  6,  8,  8,  6,  6,  7,  7,  7,  7,  7,  7,  6,  6,  8,  8,  8,  8,  7,  7,  6,  6,  6,  6,  6,  6,  5,  5,  8,  8,  7,  7,
  7,  7,  7,  7,  7,  7,  8,  8,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  8,  8,  8,  8,  7,  7,  7,  7,  7,  7,  7,  7,  5,  5,  8,  8,  8,  8,
  7,  7,  0,  0,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  8,  8,  7,  7,  7,  7,  7,  7,  7,  7,  5,  5,  6,  6,  5,  5,
  5,  5,  5,  5,  6,  6,  5,  5,  5,  5,  8,  8,  8,  8,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  5,  5,  8,  8,  7,  7,  6,  6,  6,  6,  7,  7,
  6,  6,  6,  6,  6,  6,  6,  6,  8,  8,  8,  8,  8,  8,  5,  5,  6,  6,  5,  5,  5,  5,  5,  5,  6,  6,  5,  5,  5,  5,  8,  8,  8,  8,  5,  5,  6,  6,  6,  6,  7,  7,
  6,  6,  6,  6,  8,  8,  8,  8,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  8,  8,  8,  8,  6,  6,  6,  6,  5,  5,  0,  0,
  0,  0,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  8,  8,  8,  8,  6,  6,  6,  6,  0,  0, 10, 10,
  0,  0,  0,  0,  0,  0,  0,  0,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  5,  5,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,  0,  0, 15, 15,
  0,  0,  0,  0,  0,  0, 10, 10,  0,  0,  0,  0,  0,  0, 10, 10,  0,  0,  0,  0,  0,  0,  0,  0,  0,  0,  5,  5,  0,  0, 10, 10,  0,  0,  0,  0,  0,  0, 15, 15, 15, 15,
