16,16
  0,  0,  6,  6,  6,  6,  6,  6,  0,  0,  0,  0,  0,  0,  0,  0,
  6,  6,  9,  9,  9,  9,  9,  9,  9,  9,  9,  9,  9,  9,  9,  9,
  0,  0,  7,  7,  7,  7, 12, 12,  8,  8, 12, 12,  7,  7,  9,  9,
  6,  6,  6,  6, 12, 12, 12, 12,  8,  8, 12, 12, 12, 12,  9,  9,
  0,  0,  7,  7,  6,  6,  7,  7, 12, 12, 12, 12,  6,  6,  9,  9,
  6,  6,  7,  7,  7,  7,  6,  6, 11, 11,  7,  7, 12, 12,  9,  9,
  6,  6,  6,  6, 12, 12,  8,  8, 11, 11, 12, 12, 11, 11,  9,  9,
  0,  0,  6,  6, 11, 11,  8,  8, 12, 12,  7,  7, 12, 12,  9,  9,
  0,  0,  6,  6, 11, 11,  8,  8, 11, 11,  6,  6,  6,  6,  9,  9,
  0,  0,  7,  7, 11, 11,  7,  7,  7,  7,  7,  7,  8,  8,  9,  9,
  6,  6,  7,  7, 11, 11,  7,  7,  8,  8,  7,  7,  7,  7,  9,  9,
  6,  6,  7,  7, 11, 11,  6,  6,  6,  6,  6,  6,  6,  6,  9,  9,
  6,  6,  8,  8,  6,  6,  6,  6, 11, 11,  7,  7,  7,  7,  9,  9,
  6,  6,  7,  7,  6,  6,  7,  7,  8,  8,  7,  7,  8,  8,  9,  9,
  0,  0,  9,  9,  9,  9,  9,  9,  9,  9,  9,  9,  9,  9,  9,  9,
  0,  0,  6,  6,  6,  6,  0,  0,  0,  0,  6,  6,  6,  6,  0,  0,
