16,16
 10, 10, 15, 15,  6,  6,  6,  6,  6,  6,  6,  6, 15, 15, 15, 15,
 10, 10,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,
 15, 15,  6,  6, 10, 10,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,
 15, 15, 10, 10, 10, 10, 10, 10,  6,  6, 10, 10,  6,  6,  6,  6,
 15, 15, 10, 10, 10, 10,  6,  6, 10, 10, 10, 10, 10, 10, 10, 10,
 15, 15,  6,  6,  6,  6,  6,  6, 10, 10, 10, 10, 10, 10, 10, 10,
  6,  6,  6,  6, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10,  6,  6,
  6,  6,  6,  6, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10,  6,  6,
  6,  6, 10, 10, 10, 10, 10, 10,  6,  6,  6,  6,  6,  6,  6,  6,
  6,  6, 10, 10, 10, 10, 10, 10, 10, 10,  6,  6,  6,  6, 10, 10,
  6,  6,  6,  6,  6,  6, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10,
 15, 15,  6,  6,  6,  6,  6,  6, 10, 10, 10, 10, 10, 10, 10, 10,
 15, 15,  6,  6,  6,  6,  6,  6, 10, 10, 10, 10,  6,  6, 10, 10,
 15, 15,  6,  6, 10, 10,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,
 10, 10, 15, 15,  6,  6, 10, 10,  6,  6,  6,  6,  6,  6, 10, 10,
 15, 15, 15, 15,  6,  6,  6,  6,  6,  6, 15, 15, 15, 15, 10, 10,
