20,20
 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15,
 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15,
 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15, 15,
 15, 15,  0,  0,  0,  0,  0,  0, 15, 15, 15, 15, 15, 15,  0,  0,  0,  0, 15, 15,
 15, 15,  8,  8,  8,  8,  8,  8,  0,  0, 15, 15,  0,  0,  8,  8,  8,  8,  0,  0,
  0,  0,  8,  8,  8,  8,  8,  8,  8,  8,  0,  0,  8,  8,  8,  8,  8,  8,  8,  0,
  0,  0,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  0,
  0,  0,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  0,
  0,  0,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  0,
  0,  0,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  0,
  0,  0,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  0,
 15, 15,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  0,  0,
 15, 15,  0,  0,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8, 15, 15,
 15, 15, 15, 15,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  0,  0, 15, 15,
 15, 15, 15, 15,  0,  0,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8, 15, 15, 15, 15,
 15, 15, 15, 15, 15, 15,  8,  8,  8,  8,  8,  8,  8,  8,  0,  0, 15, 15, 15, 15,
 15, 15, 15, 15, 15, 15,  0,  0,  8,  8,  8,  8,  8,  8, 15, 15, 15, 15, 15, 15,
 15, 15, 15, 15, 15, 15, 15, 15,  8,  8,  8,  8,  0,  0, 15, 15, 15, 15, 15, 15,
 15, 15, 15, 15, 15, 15, 15, 15,  0,  0,  8,  8, 15, 15, 15, 15, 15, 15, 15, 15,
 15, 15, 15, 15, 15, 15, 15, 15, 15, 15,  0,  0, 15, 15, 15, 15, 15, 15, 15, 15,
