24,16
 15, 15, 15, 15, 15, 15,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,
 15, 15, 15, 15,  6,  6,  9,  9,  9,  9,  9,  9,  6,  6,  9,  9,  9,  9,  9,  9,  9,  9,  9,  9,
 15, 15,  6,  6,  9,  9, 14, 14, 14, 14, 14, 14,  6,  6,  5,  5,  5,  5,  5,  5,  5,  5,  9,  9,
  6,  6,  9,  9, 14, 14, 14, 14, 14, 14, 14, 14,  6,  6,  5,  5,  5,  5,  5,  5,  5,  5,  9,  9,
  6,  6, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14,  6,  6,  5,  5,  5,  5,  5,  5,  5,  5,  9,  9,
  6,  6, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14,  6,  6,  5,  5,  5,  5,  5,  5,  5,  5,  9,  9,
  6,  6, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14,  6,  6,  5,  5,  5,  5,  5,  5,  5,  5,  9,  9,
  6,  6,  2,  2,  2,  2,  2,  2,  2,  2,  2,  2,  6,  6,  5,  5,  5,  5,  5,  5,  5,  5,  9,  9,
  6,  6,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  6,  6,  4,  4,  4,  4,  4,  4,  4,  4,  4,  4,
  6,  6,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  6,  6,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,
  6,  6,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  6,  6,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,
  6,  6,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  6,  6,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,
 15, 15,  8,  8,  8,  8,  8,  8,  8,  8,  8,  8,  6,  6,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,
 15, 15,  6,  6,  8,  8,  8,  8,  8,  8,  8,  8,  6,  6,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,
 15, 15, 15, 15,  6,  6,  8,  8,  8,  8,  8,  8,  6,  6,  7,  7,  7,  7,  7,  7,  7,  7,  7,  7,
 15, 15, 15, 15, 15, 15,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,  6,
